Commodity,Date,Unit,Minimum,Maximum,Average
Chilli Green,7/5/2019,Kg,40,50,45
Chilli Green(Bullet),7/5/2019,KG,50,60,55
Chilli Green(Machhe),7/5/2019,KG,35,40,37.5
Chilli Green(Akbare),7/5/2019,KG,190,200,195
Capsicum,7/5/2019,Kg,75,80,77.5
Garlic Green,7/5/2019,Kg,190,200,195
Coriander Green,7/5/2019,Kg,90,100,95
Garlic Dry Chinese,7/5/2019,Kg,230,240,235
Garlic Dry Nepali,7/5/2019,Kg,110,120,115
Clive Dry,7/5/2019,Kg,130,140,135
Fish Fresh(Rahu),7/5/2019,KG,250,255,252.5
Fish Fresh(Bachuwa),7/5/2019,KG,220,230,225
Fish Fresh(Chhadi),7/5/2019,KG,200,210,205
Fish Fresh(Mungari),7/5/2019,KG,230,240,235
Tomato Big(Nepali),7/6/2019,Kg,65,70,67.5
Tomato Big(Indian),7/6/2019,Kg,75,80,77.5
Tomato Small(Local),7/6/2019,Kg,35,40,37.5
Tomato Small(Tunnel),7/6/2019,Kg,38,45,41.5
Potato Red,7/6/2019,Kg,30,35,32.5
Potato Red(Indian),7/6/2019,KG,23,25,24
Potato Red(Mude),7/6/2019,Kg,30,35,32.5
Potato White,7/6/2019,Kg,25,27,26
Onion Dry (Indian),7/6/2019,Kg,35,37,36
Carrot(Local),7/6/2019,Kg,95,100,97.5
Cabbage(Local),7/6/2019,Kg,30,35,32.5
Cauli Local,7/6/2019,Kg,75,80,77.5
Raddish White(Local),7/6/2019,Kg,60,65,62.5
Raddish White(Hybrid),7/6/2019,Kg,65,70,67.5
Brinjal Long,7/6/2019,Kg,45,50,47.5
Brinjal Round,7/6/2019,Kg,45,50,47.5
Cow pea(Long),7/6/2019,Kg,75,80,77.5
French Bean(Local),7/6/2019,Kg,95,100,97.5
Soyabean Green,7/6/2019,Kg,55,60,57.5
Bitter Gourd,7/6/2019,Kg,45,50,47.5
Bottle Gourd,7/6/2019,Kg,55,60,57.5
Pointed Gourd(Local),7/6/2019,Kg,35,40,37.5
Smooth Gourd,7/6/2019,Kg,55,60,57.5
Sponge Gourd,7/6/2019,Kg,45,50,47.5
Pumpkin,7/6/2019,Kg,35,40,37.5
Squash(Round),7/6/2019,Kg,55,60,57.5
Okara,7/6/2019,Kg,45,50,47.5
Christophine,7/6/2019,Kg,50,55,52.5
Brd Leaf Mustard,7/6/2019,Kg,45,50,47.5
Spinach Leaf,7/6/2019,Kg,45,50,47.5
Cress Leaf,7/6/2019,Kg,50,60,55
Mustard Leaf,7/6/2019,Kg,45,50,47.5
Fenugreek Leaf,7/6/2019,Kg,50,60,55
Onion Green,7/6/2019,Kg,180,200,190
Mushroom(Kanya),7/6/2019,Kg,170,180,175
Mushroom(Button),7/6/2019,KG,420,430,425
Neuro,7/6/2019,Kg,90,100,95
Sugarbeet,7/6/2019,Kg,70,80,75
Lettuce,7/6/2019,Kg,60,70,65
Celery,7/6/2019,Kg,150,160,155
Parseley,7/6/2019,Kg,150,160,155
Fennel Leaf,7/6/2019,Kg,60,70,65
Mint,7/6/2019,Kg,120,130,125
Turnip A,7/6/2019,Kg,50,60,55
Tamarind,7/6/2019,Kg,130,140,135
Bamboo Shoot,7/6/2019,Kg,110,120,115
Tofu,7/6/2019,Kg,90,100,95
Gundruk,7/6/2019,Kg,280,300,290
Apple(Jholey),7/6/2019,Kg,170,180,175
Apple(Fuji),7/6/2019,KG,300,330,315
Banana,7/6/2019,Doz,90,100,95
Lime,7/6/2019,Kg,230,250,240
Pomegranate,7/6/2019,Kg,280,300,290
Mango(Maldah),7/6/2019,Kg,90,100,95
Mango(Dushari),7/6/2019,Kg,80,90,85
Water Melon(Dotted),7/6/2019,Kg,45,50,47.5
Sweet Orange,7/6/2019,Kg,180,200,190
Pineapple,7/6/2019,1 Pc,100,110,105
Cucumber(Local),7/6/2019,Kg,50,60,55
Cucumber(Hybrid),7/6/2019,KG,30,35,32.5
Jack Fruit,7/6/2019,Kg,30,35,32.5
Papaya(Indian),7/6/2019,Kg,90,100,95
Ginger,7/6/2019,Kg,190,200,195
Chilli Dry,7/6/2019,Kg,240,250,245
Chilli Green,7/6/2019,Kg,55,60,57.5
Chilli Green(Bullet),7/6/2019,KG,55,60,57.5
Chilli Green(Machhe),7/6/2019,KG,35,40,37.5
Chilli Green(Akbare),7/6/2019,KG,190,200,195
Capsicum,7/6/2019,Kg,65,70,67.5
Garlic Green,7/6/2019,Kg,180,200,190
Coriander Green,7/6/2019,Kg,90,100,95
Garlic Dry Chinese,7/6/2019,Kg,230,240,235
Garlic Dry Nepali,7/6/2019,Kg,110,120,115
Clive Dry,7/6/2019,Kg,140,150,145
Fish Fresh(Rahu),7/6/2019,KG,250,255,252.5
Fish Fresh(Bachuwa),7/6/2019,KG,220,230,225
Fish Fresh(Chhadi),7/6/2019,KG,200,210,205
Fish Fresh(Mungari),7/6/2019,KG,240,245,242.5
Tomato Big(Nepali),7/7/2019,Kg,75,80,77.5
Tomato Small(Local),7/7/2019,Kg,40,45,42.5
Tomato Small(Tunnel),7/7/2019,Kg,44,50,47
Potato Red,7/7/2019,Kg,35,38,36.5
Potato Red(Indian),7/7/2019,KG,22,25,23.5
Potato Red(Mude),7/7/2019,Kg,30,33,31.5
Potato White,7/7/2019,Kg,25,27,26
Onion Dry (Indian),7/7/2019,Kg,36,38,37
Carrot(Local),7/7/2019,Kg,95,100,97.5
Cabbage(Local),7/7/2019,Kg,15,20,17.5
Cauli Local,7/7/2019,Kg,70,75,72.5
Raddish White(Local),7/7/2019,Kg,60,65,62.5
Raddish White(Hybrid),7/7/2019,Kg,65,70,67.5
Brinjal Long,7/7/2019,Kg,45,50,47.5
Cow pea(Long),7/7/2019,Kg,75,80,77.5
French Bean(Local),7/7/2019,Kg,95,100,97.5
Soyabean Green,7/7/2019,Kg,65,70,67.5
Bitter Gourd,7/7/2019,Kg,45,50,47.5
Bottle Gourd,7/7/2019,Kg,55,60,57.5
Pointed Gourd(Local),7/7/2019,Kg,45,50,47.5
Smooth Gourd,7/7/2019,Kg,55,60,57.5
Sponge Gourd,7/7/2019,Kg,40,45,42.5
Pumpkin,7/7/2019,Kg,35,40,37.5
Squash(Round),7/7/2019,Kg,50,55,52.5
Okara,7/7/2019,Kg,55,60,57.5
Christophine,7/7/2019,Kg,40,45,42.5
Brd Leaf Mustard,7/7/2019,Kg,50,60,55
Spinach Leaf,7/7/2019,Kg,50,60,55
Cress Leaf,7/7/2019,Kg,70,80,75
Mustard Leaf,7/7/2019,Kg,50,60,55
Onion Green,7/7/2019,Kg,180,200,190
Mushroom(Kanya),7/7/2019,Kg,170,180,175
Mushroom(Button),7/7/2019,KG,420,430,425
Neuro,7/7/2019,Kg,90,100,95
Sugarbeet,7/7/2019,Kg,70,80,75
Lettuce,7/7/2019,Kg,70,80,75
Celery,7/7/2019,Kg,150,160,155
Parseley,7/7/2019,Kg,150,160,155
Fennel Leaf,7/7/2019,Kg,70,80,75
Mint,7/7/2019,Kg,110,120,115
Turnip A,7/7/2019,Kg,50,60,55
Tamarind,7/7/2019,Kg,130,140,135
Bamboo Shoot,7/7/2019,Kg,110,120,115
Tofu,7/7/2019,Kg,90,100,95
Gundruk,7/7/2019,Kg,280,300,290
Apple(Jholey),7/7/2019,Kg,170,180,175
Apple(Fuji),7/7/2019,KG,300,330,315
Banana,7/7/2019,Doz,90,100,95
Lime,7/7/2019,Kg,240,250,245
Pomegranate,7/7/2019,Kg,280,300,290
Mango(Maldah),7/7/2019,Kg,90,100,95
Mango(Dushari),7/7/2019,Kg,80,90,85
Water Melon(Dotted),7/7/2019,Kg,45,50,47.5
Sweet Orange,7/7/2019,Kg,180,200,190
Pineapple,7/7/2019,1 Pc,110,120,115
Cucumber(Local),7/7/2019,Kg,50,60,55
Cucumber(Hybrid),7/7/2019,KG,30,35,32.5
Jack Fruit,7/7/2019,Kg,30,35,32.5
Papaya(Indian),7/7/2019,Kg,90,100,95
Ginger,7/7/2019,Kg,190,200,195
Chilli Dry,7/7/2019,Kg,240,250,245
Chilli Green,7/7/2019,Kg,45,50,47.5
Chilli Green(Bullet),7/7/2019,KG,55,60,57.5
Chilli Green(Machhe),7/7/2019,KG,35,40,37.5
Chilli Green(Akbare),7/7/2019,KG,180,200,190
Capsicum,7/7/2019,Kg,65,70,67.5
Garlic Green,7/7/2019,Kg,180,200,190
Coriander Green,7/7/2019,Kg,90,100,95
Garlic Dry Chinese,7/7/2019,Kg,230,240,235
Garlic Dry Nepali,7/7/2019,Kg,110,120,115
Clive Dry,7/7/2019,Kg,130,140,135
Fish Fresh(Rahu),7/7/2019,KG,250,255,252.5
Fish Fresh(Bachuwa),7/7/2019,KG,220,230,225
Fish Fresh(Chhadi),7/7/2019,KG,200,210,205
Fish Fresh(Mungari),7/7/2019,KG,240,250,245
Tomato Big(Nepali),7/8/2019,Kg,75,80,77.5
Tomato Big(Indian),7/8/2019,Kg,75,80,77.5
Tomato Small(Local),7/8/2019,Kg,38,42,40
Tomato Small(Tunnel),7/8/2019,Kg,40,48,44
Potato Red,7/8/2019,Kg,35,37,36
Potato Red(Indian),7/8/2019,KG,23,25,24
Potato Red(Mude),7/8/2019,Kg,30,33,31.5
Potato White,7/8/2019,Kg,25,27,26
Onion Dry (Indian),7/8/2019,Kg,25,27,26
Carrot(Local),7/8/2019,Kg,95,100,97.5
Cabbage(Local),7/8/2019,Kg,15,20,17.5
Cauli Local,7/8/2019,Kg,75,80,77.5
Raddish White(Local),7/8/2019,Kg,60,65,62.5
Raddish White(Hybrid),7/8/2019,Kg,65,70,67.5
Brinjal Long,7/8/2019,Kg,45,50,47.5
Cow pea(Long),7/8/2019,Kg,75,80,77.5
French Bean(Local),7/8/2019,Kg,95,100,97.5
Soyabean Green,7/8/2019,Kg,65,70,67.5
Bitter Gourd,7/8/2019,Kg,45,50,47.5
Bottle Gourd,7/8/2019,Kg,55,60,57.5
Pointed Gourd(Local),7/8/2019,Kg,45,50,47.5
Smooth Gourd,7/8/2019,Kg,55,60,57.5
Sponge Gourd,7/8/2019,Kg,35,40,37.5
Pumpkin,7/8/2019,Kg,35,40,37.5
Squash(Round),7/8/2019,Kg,50,60,55
Okara,7/8/2019,Kg,50,55,52.5
Christophine,7/8/2019,Kg,35,40,37.5
Brd Leaf Mustard,7/8/2019,Kg,50,60,55
Spinach Leaf,7/8/2019,Kg,50,60,55
Cress Leaf,7/8/2019,Kg,60,70,65
Mustard Leaf,7/8/2019,Kg,50,60,55
Fenugreek Leaf,7/8/2019,Kg,60,70,65
Onion Green,7/8/2019,Kg,180,200,190
Mushroom(Kanya),7/8/2019,Kg,170,180,175
Mushroom(Button),7/8/2019,KG,420,430,425
Neuro,7/8/2019,Kg,90,100,95
Sugarbeet,7/8/2019,Kg,70,80,75
Lettuce,7/8/2019,Kg,60,70,65
Celery,7/8/2019,Kg,180,200,190
Parseley,7/8/2019,Kg,180,200,190
Fennel Leaf,7/8/2019,Kg,60,70,65
Mint,7/8/2019,Kg,120,130,125
Turnip A,7/8/2019,Kg,50,60,55
Tamarind,7/8/2019,Kg,130,140,135
Bamboo Shoot,7/8/2019,Kg,110,120,115
Tofu,7/8/2019,Kg,90,100,95
Gundruk,7/8/2019,Kg,280,300,290
Apple(Jholey),7/8/2019,Kg,170,180,175
Apple(Fuji),7/8/2019,KG,300,330,315
Banana,7/8/2019,Doz,90,100,95
Lime,7/8/2019,Kg,230,250,240
Pomegranate,7/8/2019,Kg,280,300,290
Mango(Maldah),7/8/2019,Kg,90,100,95
Mango(Dushari),7/8/2019,Kg,80,90,85
Water Melon(Green),7/8/2019,Kg,50,55,52.5
Water Melon(Dotted),7/8/2019,Kg,50,55,52.5
Sweet Orange,7/8/2019,Kg,180,200,190
Pineapple,7/8/2019,1 Pc,100,110,105
Cucumber(Local),7/8/2019,Kg,50,60,55
Cucumber(Hybrid),7/8/2019,KG,30,35,32.5
Jack Fruit,7/8/2019,Kg,30,35,32.5
Papaya(Indian),7/8/2019,Kg,90,100,95
Ginger,7/8/2019,Kg,190,200,195
Chilli Dry,7/8/2019,Kg,240,250,245
Chilli Green,7/8/2019,Kg,40,45,42.5
Chilli Green(Bullet),7/8/2019,KG,55,60,57.5
Chilli Green(Machhe),7/8/2019,KG,35,40,37.5
Chilli Green(Akbare),7/8/2019,KG,190,200,195
Capsicum,7/8/2019,Kg,75,80,77.5
Garlic Green,7/8/2019,Kg,190,200,195
Coriander Green,7/8/2019,Kg,95,100,97.5
Garlic Dry Chinese,7/8/2019,Kg,230,240,235
Garlic Dry Nepali,7/8/2019,Kg,110,120,115
Clive Dry,7/8/2019,Kg,140,150,145
Fish Fresh(Rahu),7/8/2019,KG,250,255,252.5
Fish Fresh(Bachuwa),7/8/2019,KG,220,230,225
Fish Fresh(Chhadi),7/8/2019,KG,200,210,205
Fish Fresh(Mungari),7/8/2019,KG,240,245,242.5
Tomato Big(Nepali),7/9/2019,Kg,65,70,67.5
Tomato Big(Indian),7/9/2019,Kg,70,75,72.5
Tomato Small(Local),7/9/2019,Kg,35,40,37.5
Tomato Small(Tunnel),7/9/2019,Kg,40,48,44
Potato Red,7/9/2019,Kg,35,37,36
Potato Red(Indian),7/9/2019,KG,23,25,24
Potato Red(Mude),7/9/2019,Kg,30,33,31.5
Potato White,7/9/2019,Kg,25,27,26
Onion Dry (Indian),7/9/2019,Kg,35,37,36
Carrot(Local),7/9/2019,Kg,95,100,97.5
Cabbage(Local),7/9/2019,Kg,20,25,22.5
Cauli Local,7/9/2019,Kg,65,70,67.5
Raddish White(Local),7/9/2019,Kg,60,65,62.5
Raddish White(Hybrid),7/9/2019,Kg,65,70,67.5
Brinjal Long,7/9/2019,Kg,45,50,47.5
Cow pea(Long),7/9/2019,Kg,75,80,77.5
French Bean(Local),7/9/2019,Kg,110,120,115
Soyabean Green,7/9/2019,Kg,65,70,67.5
Bitter Gourd,7/9/2019,Kg,45,50,47.5
Bottle Gourd,7/9/2019,Kg,55,60,57.5
Pointed Gourd(Local),7/9/2019,Kg,50,55,52.5
Snake Gourd,7/9/2019,Kg,35,40,37.5
Smooth Gourd,7/9/2019,Kg,55,60,57.5
Sponge Gourd,7/9/2019,Kg,35,40,37.5
Pumpkin,7/9/2019,Kg,35,40,37.5
Squash(Round),7/9/2019,Kg,50,55,52.5
Okara,7/9/2019,Kg,55,60,57.5
Christophine,7/9/2019,Kg,40,45,42.5
Brd Leaf Mustard,7/9/2019,Kg,50,60,55
Spinach Leaf,7/9/2019,Kg,50,60,55
Cress Leaf,7/9/2019,Kg,60,70,65
Mustard Leaf,7/9/2019,Kg,50,60,55
Onion Green,7/9/2019,Kg,180,200,190
Mushroom(Kanya),7/9/2019,Kg,170,180,175
Mushroom(Button),7/9/2019,KG,420,430,425
Neuro,7/9/2019,Kg,90,100,95
Sugarbeet,7/9/2019,Kg,70,80,75
Lettuce,7/9/2019,Kg,60,70,65
Celery,7/9/2019,Kg,150,160,155
Parseley,7/9/2019,Kg,150,160,155
Fennel Leaf,7/9/2019,Kg,60,70,65
Mint,7/9/2019,Kg,120,130,125
Turnip A,7/9/2019,Kg,50,60,55
Tamarind,7/9/2019,Kg,130,140,135
Bamboo Shoot,7/9/2019,Kg,110,120,115
Tofu,7/9/2019,Kg,90,100,95
Gundruk,7/9/2019,Kg,280,300,290
Apple(Jholey),7/9/2019,Kg,170,180,175
Apple(Fuji),7/9/2019,KG,280,300,290
Banana,7/9/2019,Doz,90,100,95
Lime,7/9/2019,Kg,230,250,240
Pomegranate,7/9/2019,Kg,280,300,290
Mango(Maldah),7/9/2019,Kg,90,100,95
Mango(Dushari),7/9/2019,Kg,80,90,85
Water Melon(Dotted),7/9/2019,Kg,50,55,52.5
Sweet Orange,7/9/2019,Kg,180,200,190
Pineapple,7/9/2019,1 Pc,110,120,115
Cucumber(Local),7/9/2019,Kg,50,60,55
Cucumber(Hybrid),7/9/2019,KG,30,35,32.5
Jack Fruit,7/9/2019,Kg,30,35,32.5
Papaya(Indian),7/9/2019,Kg,90,100,95
Ginger,7/9/2019,Kg,190,200,195
Chilli Dry,7/9/2019,Kg,240,250,245
Chilli Green,7/9/2019,Kg,40,50,45
Chilli Green(Bullet),7/9/2019,KG,45,50,47.5
Chilli Green(Machhe),7/9/2019,KG,35,40,37.5
Chilli Green(Akbare),7/9/2019,KG,190,200,195
Capsicum,7/9/2019,Kg,65,70,67.5
Garlic Green,7/9/2019,Kg,190,200,195
Coriander Green,7/9/2019,Kg,190,200,195
Garlic Dry Chinese,7/9/2019,Kg,230,240,235
Garlic Dry Nepali,7/9/2019,Kg,110,120,115
Clive Dry,7/9/2019,Kg,130,140,135
Fish Fresh(Rahu),7/9/2019,KG,250,255,252.5
Fish Fresh(Bachuwa),7/9/2019,KG,220,230,225
Fish Fresh(Chhadi),7/9/2019,KG,200,210,205
Fish Fresh(Mungari),7/9/2019,KG,240,250,245
Tomato Big(Nepali),7/10/2019,Kg,65,70,67.5
Tomato Big(Indian),7/10/2019,Kg,75,80,77.5
Tomato Small(Local),7/10/2019,Kg,40,45,42.5
Tomato Small(Tunnel),7/10/2019,Kg,45,50,47.5
Potato Red,7/10/2019,Kg,35,37,36
Potato Red(Indian),7/10/2019,KG,23,25,24
Potato Red(Mude),7/10/2019,Kg,30,32,31
Potato White,7/10/2019,Kg,25,27,26
Onion Dry (Indian),7/10/2019,Kg,35,37,36
Carrot(Local),7/10/2019,Kg,95,100,97.5
Cabbage(Local),7/10/2019,Kg,20,25,22.5
Cauli Local,7/10/2019,Kg,65,70,67.5
Raddish White(Local),7/10/2019,Kg,55,60,57.5
Raddish White(Hybrid),7/10/2019,Kg,60,65,62.5
Brinjal Long,7/10/2019,Kg,45,50,47.5
Cow pea(Long),7/10/2019,Kg,75,80,77.5
French Bean(Local),7/10/2019,Kg,110,120,115
Soyabean Green,7/10/2019,Kg,65,70,67.5
Bitter Gourd,7/10/2019,Kg,45,50,47.5
Bottle Gourd,7/10/2019,Kg,55,60,57.5
Pointed Gourd(Local),7/10/2019,Kg,45,50,47.5
Snake Gourd,7/10/2019,Kg,35,40,37.5
Smooth Gourd,7/10/2019,Kg,55,60,57.5
Sponge Gourd,7/10/2019,Kg,35,40,37.5
Pumpkin,7/10/2019,Kg,35,40,37.5
Squash(Round),7/10/2019,Kg,50,55,52.5
Okara,7/10/2019,Kg,50,55,52.5
Christophine,7/10/2019,Kg,35,40,37.5
Brd Leaf Mustard,7/10/2019,Kg,50,60,55
Spinach Leaf,7/10/2019,Kg,50,60,55
Cress Leaf,7/10/2019,Kg,60,70,65
Mustard Leaf,7/10/2019,Kg,50,60,55
Onion Green,7/10/2019,Kg,180,200,190
Mushroom(Kanya),7/10/2019,Kg,170,180,175
Mushroom(Button),7/10/2019,KG,420,430,425
Neuro,7/10/2019,Kg,90,100,95
Sugarbeet,7/10/2019,Kg,70,80,75
Lettuce,7/10/2019,Kg,60,70,65
Celery,7/10/2019,Kg,150,160,155
Parseley,7/10/2019,Kg,150,160,155
Fennel Leaf,7/10/2019,Kg,60,70,65
Mint,7/10/2019,Kg,120,130,125
Turnip A,7/10/2019,Kg,50,60,55
Tamarind,7/10/2019,Kg,130,140,135
Bamboo Shoot,7/10/2019,Kg,110,120,115
Tofu,7/10/2019,Kg,90,100,95
Gundruk,7/10/2019,Kg,280,300,290
Apple(Jholey),7/10/2019,Kg,170,180,175
Apple(Fuji),7/10/2019,KG,300,330,315
Banana,7/10/2019,Doz,90,100,95
Lime,7/10/2019,Kg,240,250,245
Pomegranate,7/10/2019,Kg,280,300,290
Mango(Maldah),7/10/2019,Kg,90,100,95
Mango(Dushari),7/10/2019,Kg,80,90,85
Water Melon(Green),7/10/2019,Kg,50,55,52.5
Sweet Orange,7/10/2019,Kg,180,200,190
Pineapple,7/10/2019,1 Pc,100,110,105
Cucumber(Local),7/10/2019,Kg,50,60,55
Cucumber(Hybrid),7/10/2019,KG,30,35,32.5
Jack Fruit,7/10/2019,Kg,30,35,32.5
Papaya(Indian),7/10/2019,Kg,90,100,95
Ginger,7/10/2019,Kg,190,200,195
Chilli Dry,7/10/2019,Kg,240,250,245
Chilli Green,7/10/2019,Kg,40,45,42.5
Chilli Green(Bullet),7/10/2019,KG,50,55,52.5
Chilli Green(Machhe),7/10/2019,KG,65,70,67.5
Chilli Green(Akbare),7/10/2019,KG,190,200,195
Capsicum,7/10/2019,Kg,70,80,75
Garlic Green,7/10/2019,Kg,180,200,190
Coriander Green,7/10/2019,Kg,230,240,235
Garlic Dry Chinese,7/10/2019,Kg,130,140,135
Garlic Dry Nepali,7/10/2019,Kg,110,120,115
Clive Dry,7/10/2019,Kg,120,130,125
Fish Fresh(Rahu),7/10/2019,KG,250,255,252.5
Fish Fresh(Bachuwa),7/10/2019,KG,220,230,225
Fish Fresh(Chhadi),7/10/2019,KG,200,210,205
Fish Fresh(Mungari),7/10/2019,KG,230,240,235
Tomato Big(Nepali),7/11/2019,Kg,65,70,67.5
Tomato Big(Indian),7/11/2019,Kg,95,100,97.5
Tomato Small(Local),7/11/2019,Kg,50,55,52.5
Tomato Small(Tunnel),7/11/2019,Kg,55,63,59
Potato Red,7/11/2019,Kg,35,37,36
Potato Red(Indian),7/11/2019,KG,23,25,24
Potato Red(Mude),7/11/2019,Kg,30,33,31.5
Potato White,7/11/2019,Kg,25,27,26
Onion Dry (Indian),7/11/2019,Kg,35,36,35.5
Carrot(Local),7/11/2019,Kg,95,100,97.5
Cabbage(Local),7/11/2019,Kg,25,30,27.5
Cauli Local,7/11/2019,Kg,80,85,82.5
Raddish White(Local),7/11/2019,Kg,50,55,52.5
Raddish White(Hybrid),7/11/2019,Kg,55,60,57.5
Brinjal Long,7/11/2019,Kg,45,50,47.5
Cow pea(Long),7/11/2019,Kg,75,80,77.5
French Bean(Local),7/11/2019,Kg,110,120,115
Soyabean Green,7/11/2019,Kg,75,80,77.5
Bitter Gourd,7/11/2019,Kg,45,50,47.5
Bottle Gourd,7/11/2019,Kg,55,60,57.5
Pointed Gourd(Local),7/11/2019,Kg,45,50,47.5
Snake Gourd,7/11/2019,Kg,35,40,37.5
Smooth Gourd,7/11/2019,Kg,55,60,57.5
Sponge Gourd,7/11/2019,Kg,35,40,37.5
Pumpkin,7/11/2019,Kg,35,40,37.5
Squash(Round),7/11/2019,Kg,55,60,57.5
Okara,7/11/2019,Kg,55,60,57.5
Christophine,7/11/2019,Kg,35,40,37.5
Brd Leaf Mustard,7/11/2019,Kg,50,60,55
Spinach Leaf,7/11/2019,Kg,50,60,55
Cress Leaf,7/11/2019,Kg,60,70,65
Mustard Leaf,7/11/2019,Kg,50,60,55
Onion Green,7/11/2019,Kg,180,200,190
Mushroom(Kanya),7/11/2019,Kg,170,180,175
Mushroom(Button),7/11/2019,KG,420,430,425
Neuro,7/11/2019,Kg,90,100,95
Sugarbeet,7/11/2019,Kg,90,100,95
Lettuce,7/11/2019,Kg,60,70,65
Celery,7/11/2019,Kg,180,200,190
Parseley,7/11/2019,Kg,180,200,190
Fennel Leaf,7/11/2019,Kg,60,70,65
Mint,7/11/2019,Kg,120,130,125
Turnip A,7/11/2019,Kg,50,60,55
Tamarind,7/11/2019,Kg,130,140,135
Bamboo Shoot,7/11/2019,Kg,110,120,115
Tofu,7/11/2019,Kg,90,100,95
Gundruk,7/11/2019,Kg,280,300,290
Apple(Jholey),7/11/2019,Kg,170,180,175
Apple(Fuji),7/11/2019,KG,300,330,315
Banana,7/11/2019,Doz,90,100,95
Lime,7/11/2019,Kg,220,250,235
Pomegranate,7/11/2019,Kg,280,320,300
Mango(Maldah),7/11/2019,Kg,90,100,95
Mango(Dushari),7/11/2019,Kg,80,90,85
Water Melon(Green),7/11/2019,Kg,45,50,47.5
Sweet Orange,7/11/2019,Kg,180,200,190
Pineapple,7/11/2019,1 Pc,110,120,115
Cucumber(Local),7/11/2019,Kg,50,60,55
Cucumber(Hybrid),7/11/2019,KG,30,35,32.5
Jack Fruit,7/11/2019,Kg,30,35,32.5
Papaya(Indian),7/11/2019,Kg,90,100,95
Ginger,7/11/2019,Kg,190,200,195
Chilli Dry,7/11/2019,Kg,240,250,245
Chilli Green,7/11/2019,Kg,45,50,47.5
Chilli Green(Bullet),7/11/2019,KG,55,60,57.5
Chilli Green(Machhe),7/11/2019,KG,35,40,37.5
Chilli Green(Akbare),7/11/2019,KG,180,200,190
Capsicum,7/11/2019,Kg,60,70,65
Garlic Green,7/11/2019,Kg,180,200,190
Coriander Green,7/11/2019,Kg,230,240,235
Garlic Dry Chinese,7/11/2019,Kg,230,240,235
Garlic Dry Nepali,7/11/2019,Kg,110,120,115
Clive Dry,7/11/2019,Kg,130,140,135
Fish Fresh(Rahu),7/11/2019,KG,250,255,252.5
Fish Fresh(Bachuwa),7/11/2019,KG,220,230,225
Fish Fresh(Chhadi),7/11/2019,KG,200,210,205
Fish Fresh(Mungari),7/11/2019,KG,230,240,235
Tomato Big(Nepali),7/12/2019,Kg,65,70,67.5
Tomato Small(Local),7/12/2019,Kg,45,50,47.5
Tomato Small(Tunnel),7/12/2019,Kg,55,65,60
Potato Red,7/12/2019,Kg,35,37,36
Potato Red(Indian),7/12/2019,KG,23,25,24
Potato Red(Mude),7/12/2019,Kg,30,32,31
Potato White,7/12/2019,Kg,25,27,26
Onion Dry (Indian),7/12/2019,Kg,35,37,36
Carrot(Local),7/12/2019,Kg,95,100,97.5
Cabbage(Local),7/12/2019,Kg,25,30,27.5
Cauli Local,7/12/2019,Kg,60,65,62.5
Raddish White(Local),7/12/2019,Kg,60,65,62.5
Raddish White(Hybrid),7/12/2019,Kg,65,70,67.5
Brinjal Long,7/12/2019,Kg,45,50,47.5
Cow pea(Long),7/12/2019,Kg,75,80,77.5
Cowpea(Short),7/12/2019,Kg,75,80,77.5
French Bean(Local),7/12/2019,Kg,110,120,115
Soyabean Green,7/12/2019,Kg,75,80,77.5
Bitter Gourd,7/12/2019,Kg,45,50,47.5
Bottle Gourd,7/12/2019,Kg,55,60,57.5
Pointed Gourd(Local),7/12/2019,Kg,45,50,47.5
Snake Gourd,7/12/2019,Kg,35,40,37.5
Smooth Gourd,7/12/2019,Kg,55,60,57.5
Sponge Gourd,7/12/2019,Kg,40,45,42.5
Pumpkin,7/12/2019,Kg,35,40,37.5
Squash(Round),7/12/2019,Kg,55,60,57.5
Okara,7/12/2019,Kg,50,60,55
Christophine,7/12/2019,Kg,40,45,42.5
Brd Leaf Mustard,7/12/2019,Kg,50,60,55
Spinach Leaf,7/12/2019,Kg,50,60,55
Cress Leaf,7/12/2019,Kg,120,130,125
Mustard Leaf,7/12/2019,Kg,50,60,55
Onion Green,7/12/2019,Kg,180,200,190
Mushroom(Kanya),7/12/2019,Kg,160,170,165
Mushroom(Button),7/12/2019,KG,420,430,425
Neuro,7/12/2019,Kg,90,100,95
Sugarbeet,7/12/2019,Kg,70,80,75
Lettuce,7/12/2019,Kg,60,70,65
Celery,7/12/2019,Kg,150,160,155
Parseley,7/12/2019,Kg,150,160,155
Fennel Leaf,7/12/2019,Kg,60,70,65
Mint,7/12/2019,Kg,110,120,115
Turnip A,7/12/2019,Kg,50,60,55
Tamarind,7/12/2019,Kg,130,140,135
Bamboo Shoot,7/12/2019,Kg,110,120,115
Tofu,7/12/2019,Kg,90,100,95
Gundruk,7/12/2019,Kg,280,300,290
Apple(Jholey),7/12/2019,Kg,170,180,175
Apple(Fuji),7/12/2019,KG,300,320,310
Banana,7/12/2019,Doz,90,100,95
Lime,7/12/2019,Kg,230,250,240
Pomegranate,7/12/2019,Kg,280,300,290
Mango(Maldah),7/12/2019,Kg,90,100,95
Mango(Dushari),7/12/2019,Kg,80,90,85
Water Melon(Green),7/12/2019,Kg,48,50,49
Sweet Orange,7/12/2019,Kg,180,200,190
